datetime,overall_sentiment_score,relevance_score,ticker_sentiment_score,affected_topic_relevance_score,distinct_news_count
2024-07-17 06:00:00,0.0577,0.0559,0.0699,0.3862,1
2024-07-17 17:00:00,0.1083,0.4233,0.0959,0.3167,1
2024-07-18 04:00:00,0.0671,0.0607,-0.0252,0.7485,1
2024-07-18 12:00:00,0.086,0.032,-0.0244,0.6208,1
2024-07-19 13:00:00,0.1773,0.19,0.1681,0.641,1
2024-07-19 20:00:00,0.0983,0.3285,0.1309,0.5793,1
2024-07-20 11:00:00,0.1349,0.7183,0.2593,0.7719,1
2024-07-20 16:00:00,0.1359,0.3608,0.0784,0.3037,1
2024-07-21 09:00:00,0.1768,0.2739,0.2975,0.6132,1
2024-07-22 11:00:00,-0.0194,0.0951,0.0912,0.3798,1
2024-07-22 12:00:00,0.1112,0.128,0.0248,0.4853,2
2024-07-22 21:00:00,-0.0652,0.3889,-0.0889,0.4183,1
2024-07-23 02:00:00,0.1895,0.1361,-0.1262,0.614,1
2024-07-23 13:00:00,0.3217,0.0745,0.1181,0.4898,1
2024-07-23 14:00:00,0.1445,0.1363,0.088,0.4546,1
2024-07-23 18:00:00,0.3017,0.2597,0.1615,0.3932,1
2024-07-24 11:00:00,0.1559,0.2156,0.0174,0.4845,3
2024-07-24 12:00:00,0.1122,0.1366,0.0817,0.4512,1
2024-07-25 02:00:00,-0.0219,0.1095,-0.1295,0.4816,1
2024-07-25 04:00:00,-0.0872,0.0856,-0.1841,0.5383,1
2024-07-25 09:00:00,0.1823,0.5467,0.1941,0.3813,1
2024-07-25 12:00:00,0.0316,0.0451,-0.1739,0.5909,1
2024-07-25 15:00:00,0.2764,0.1302,-0.0798,0.3502,1
2024-07-25 17:00:00,0.0245,0.0961,-0.0903,0.5987,1
2024-07-25 19:00:00,0.2967,0.7717,0.4459,0.5743,1
2024-07-25 20:00:00,0.0196,0.0599,0.3364,0.3375,1
2024-07-25 23:00:00,0.0585,0.0494,-0.035,0.7175,1
2024-07-26 02:00:00,0.2521,0.0045,0.1952,0.4956,1
2024-07-26 08:00:00,0.0097,0.1524,0.0347,0.5267,2
2024-07-26 11:00:00,0.1595,0.0829,0.085,0.4073,2
2024-07-26 13:00:00,0.1845,0.0165,0.1086,0.4938,1
2024-07-26 14:00:00,0.1535,0.0083,0.0486,0.4193,1
2024-07-26 15:00:00,0.2249,0.1227,0.1833,0.4026,2
2024-07-26 17:00:00,0.3544,0.043,0.2082,0.5504,1
2024-07-26 18:00:00,0.163,0.0061,0.1556,0.4598,1
2024-07-26 20:00:00,0.17,0.2412,-0.013,0.5187,2
2024-07-27 08:00:00,0.3388,0.0437,0.2676,0.3941,1
2024-07-27 13:00:00,0.2405,0.1216,0.122,0.5873,1
2024-07-28 08:00:00,0.1771,0.2029,0.1921,0.4253,2
2024-07-28 11:00:00,0.2986,0.0714,0.1248,0.609,1
2024-07-29 03:00:00,-0.1306,0.1012,0.0,0.3584,1
2024-07-29 07:00:00,0.2164,0.0926,0.1879,0.4574,1
2024-07-29 09:00:00,0.236,0.2089,0.0883,0.4233,2
2024-07-29 10:00:00,0.0561,0.0491,-0.035,0.7175,1
2024-07-29 13:00:00,0.2318,0.097,0.0457,0.5226,2
2024-07-29 14:00:00,0.0869,0.1573,-0.0913,0.5437,1
2024-07-29 16:00:00,0.2834,0.178,0.2411,0.431,1
2024-07-29 17:00:00,0.1109,0.1324,0.0896,0.4428,2
2024-07-29 18:00:00,0.2686,0.2667,0.2916,0.4769,2
2024-07-29 19:00:00,0.307,0.55,0.3406,0.5302,1
2024-07-29 20:00:00,0.1823,0.3333,0.1983,0.4615,4
2024-07-29 21:00:00,0.2499,0.0932,0.0324,0.4695,2
2024-07-29 22:00:00,0.2358,0.0915,0.1518,0.4734,2
2024-07-29 23:00:00,0.0629,0.2094,0.3186,0.3982,1
2024-07-30 00:00:00,0.1864,0.3654,0.0924,0.5211,2
2024-07-30 01:00:00,0.1152,0.0507,-0.0964,0.5,1
2024-07-30 02:00:00,0.1139,0.1882,0.0467,0.4545,3
2024-07-30 03:00:00,0.1496,0.2467,0.0989,0.4096,3
2024-07-30 04:00:00,0.0587,0.3021,0.0747,0.3781,4
2024-07-30 08:00:00,-0.027,0.0862,-0.0295,0.6072,2
2024-07-30 09:00:00,0.247,0.3538,0.2053,0.4625,4
2024-07-30 10:00:00,0.227,0.0959,0.0526,0.4883,6
2024-07-30 12:00:00,0.1788,0.0782,0.1457,0.5567,3
2024-07-30 13:00:00,0.0653,0.3737,0.0164,0.3854,6
2024-07-30 14:00:00,0.1586,0.3686,0.118,0.6646,3
2024-07-30 15:00:00,0.1383,0.1295,0.049,0.5686,1
2024-07-30 16:00:00,0.1773,0.1762,0.0788,0.3639,3
2024-07-30 17:00:00,0.1492,0.2041,0.051,0.549,1
2024-07-30 18:00:00,0.1246,0.1421,0.102,0.4904,2
2024-07-30 19:00:00,0.1884,0.3857,0.019,0.5627,4
2024-07-30 20:00:00,0.1426,0.2235,0.1456,0.6502,2
2024-07-30 21:00:00,0.3515,0.6459,0.5767,0.7886,1
2024-07-30 22:00:00,0.295,0.624,0.4663,0.4663,1
2024-08-01 03:00:00,0.0752,0.1278,0.1672,0.4951,1
2024-08-01 05:00:00,-0.0334,0.1565,0.0467,0.4619,1
2024-08-01 10:00:00,0.1936,0.019,0.0802,0.8043,1
2024-08-01 12:00:00,-0.0219,0.0536,-0.0967,0.5791,1
2024-08-02 05:00:00,-0.2279,0.1798,-0.1698,0.5656,1
2024-08-02 13:00:00,0.406,0.0379,0.0775,0.5289,1
2024-08-02 14:00:00,0.316,0.4745,0.2055,0.4973,1
2024-08-06 11:00:00,0.1116,0.0182,0.0373,0.4283,2
2024-08-07 05:00:00,-0.1564,0.1974,-0.1339,0.3673,1
2024-08-07 14:00:00,0.0,0.0488,-0.026,0.5939,1
2024-08-08 09:00:00,0.2832,0.148,0.0593,0.627,1
2024-08-08 10:00:00,0.2587,0.0182,0.1147,0.6225,1
2024-08-10 23:00:00,-0.0145,0.021,0.0441,0.5237,1
2024-08-11 23:00:00,-0.1245,0.1571,-0.0582,0.7186,1
2024-08-14 10:00:00,0.3175,0.1128,0.2127,0.5076,1
2024-08-14 15:00:00,0.1684,0.0569,0.214,0.2806,1
2024-08-16 00:00:00,0.1932,0.0595,0.0281,0.4401,1
2024-08-19 10:00:00,0.0742,0.0855,-0.1937,0.4343,1
2024-08-20 04:00:00,0.1092,0.0838,0.1209,0.5056,1
2024-08-20 11:00:00,0.1298,0.0434,0.1158,0.5054,1
2024-08-20 14:00:00,0.0665,0.1409,0.1446,0.4536,2
2024-08-20 16:00:00,0.2716,0.0045,0.12,0.5487,1
2024-08-21 14:00:00,0.186,0.2036,0.151,0.4557,2
2024-08-22 06:00:00,-0.0295,0.3963,0.0412,0.6039,1
